sn,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,class,,,,,
63,0.0316,0.0545,0.0318,0.0825,0.2714,0.3253,0.3516,0.3273,0.1339,0.0643,0,,,,,
64,0.0367,0.053,0.0396,0.0899,0.2635,0.3291,0.3378,0.3313,0.1448,0.0752,0,,,,,
65,0.0389,0.0667,0.0424,0.0954,0.2526,0.3009,0.3172,0.3063,0.1432,0.0805,0,,,,,
66,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,0,,,,,
67,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,0,,,,,
68,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,0,,,,,
69,0.0299,0.0499,0.0289,0.0803,0.2748,0.3417,0.365,0.3487,0.1264,0.0634,0,,,,,
70,0.0347,0.0592,0.0309,0.0825,0.2714,0.3253,0.347,0.3273,0.1339,0.0643,0,,,,,
71,0.0357,0.0586,0.0317,0.0899,0.2635,0.3291,0.3516,0.3313,0.1448,0.0752,0,,,,,
72,0.0423,0.0703,0.05,0.0933,0.2507,0.2955,0.2814,0.2976,0.1417,0.0788,0,,,,,
73,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,0,,,,,
74,0.0357,0.0586,0.0317,0.0899,0.2635,0.3291,0.3516,0.3313,0.1448,0.0752,0,,,,,
75,0.0299,0.0499,0.0289,0.0803,0.2748,0.3417,0.365,0.3487,0.1264,0.0634,0,,,,,
76,0.0373,0.0564,0.0353,0.0899,0.2635,0.3291,0.3528,0.3313,0.1448,0.0752,0,,,,,
77,0.0357,0.0556,0.0378,0.0899,0.2635,0.3291,0.3422,0.3313,0.1448,0.0752,0,,,,,
78,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,0,,,,,
79,0.0349,0.0579,0.0375,0.0825,0.2714,0.3253,0.3496,0.3273,0.1339,0.0643,0,,,,,
80,0.0423,0.0703,0.05,0.0933,0.2507,0.2955,0.2814,0.2976,0.1417,0.0788,0,,,,,
81,0.0361,0.0597,0.033,0.0825,0.2714,0.3253,0.3454,0.3273,0.1339,0.0643,0,,,,,
82,0.0316,0.0515,0.0262,0.0803,0.2748,0.3417,0.3706,0.3487,0.1264,0.0634,0,,,,,
83,0.0361,0.0597,0.033,0.0825,0.2714,0.3253,0.3454,0.3273,0.1339,0.0643,0,,,,,
84,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,0,,,,,
85,0.0307,0.0575,0.0357,0.0954,0.2526,0.3009,0.3362,0.3063,0.1432,0.0805,0,,,,,
86,0.0349,0.0579,0.0375,0.0825,0.2714,0.3253,0.3496,0.3273,0.1339,0.0643,0,,,,,
87,0.0299,0.0499,0.0289,0.0803,0.2748,0.3417,0.365,0.3487,0.1264,0.0634,0,,,,,
88,0.0313,0.0519,0.0266,0.0847,0.2565,0.3295,0.3748,0.3271,0.1357,0.0647,0,,,,,
89,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,0,,,,,
90,0.0393,0.067,0.0413,0.0933,0.2507,0.2955,0.309,0.2976,0.1417,0.0788,0,,,,,
91,0.0316,0.0545,0.0318,0.0825,0.2714,0.3253,0.3516,0.3273,0.1339,0.0643,0,,,,,
92,0.0313,0.0519,0.0266,0.0847,0.2565,0.3295,0.3748,0.3271,0.1357,0.0647,0,,,,,
93,0.0347,0.0592,0.0309,0.0825,0.2714,0.3253,0.347,0.3273,0.1339,0.0643,0,,,,,
94,0.036,0.0528,0.0339,0.0847,0.2565,0.3295,0.3426,0.3271,0.1357,0.0647,0,,,,,
95,0.036,0.0528,0.0339,0.0847,0.2565,0.3295,0.3426,0.3271,0.1357,0.0647,0,,,,,
96,0.0299,0.0499,0.0289,0.0803,0.2748,0.3417,0.365,0.3487,0.1264,0.0634,0,,,,,
97,0.0361,0.0597,0.033,0.0825,0.2714,0.3253,0.3454,0.3273,0.1339,0.0643,0,,,,,
98,0.0307,0.0575,0.0357,0.0954,0.2526,0.3009,0.3362,0.3063,0.1432,0.0805,0,,,,,
99,0.0309,0.054,0.0268,0.0847,0.2565,0.3295,0.3814,0.3271,0.1357,0.0647,0,,,,,
100,0.0349,0.0579,0.0375,0.0825,0.2714,0.3253,0.3496,0.3273,0.1339,0.0643,0,,,,,
101,0.036,0.0528,0.0339,0.0847,0.2565,0.3295,0.3426,0.3271,0.1357,0.0647,0,,,,,
102,0.0373,0.0564,0.0353,0.0899,0.2635,0.3291,0.3528,0.3313,0.1448,0.0752,0,,,,,
103,0.0347,0.0636,0.0392,0.0933,0.2507,0.2955,0.3308,0.2976,0.1417,0.0788,0,,,,,
104,0.0357,0.0586,0.0317,0.0899,0.2635,0.3291,0.3516,0.3313,0.1448,0.0752,0,,,,,
105,0.0357,0.0586,0.0317,0.0899,0.2635,0.3291,0.3516,0.3313,0.1448,0.0752,0,,,,,
106,0.0423,0.0703,0.05,0.0933,0.2507,0.2955,0.2814,0.2976,0.1417,0.0788,0,,,,,
107,0.0393,0.067,0.0413,0.0933,0.2507,0.2955,0.309,0.2976,0.1417,0.0788,0,,,,,
108,0.0349,0.0579,0.0375,0.0825,0.2714,0.3253,0.3496,0.3273,0.1339,0.0643,0,,,,,
109,0.0373,0.0564,0.0353,0.0899,0.2635,0.3291,0.3528,0.3313,0.1448,0.0752,0,,,,,
110,0.0361,0.0597,0.033,0.0825,0.2714,0.3253,0.3454,0.3273,0.1339,0.0643,0,,,,,
111,0.0357,0.0556,0.0378,0.0899,0.2635,0.3291,0.3422,0.3313,0.1448,0.0752,0,,,,,
112,0.0494,0.0786,0.0584,0.0954,0.2526,0.3009,0.3,0.3063,0.1432,0.0805,0,,,,,
113,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,0,,,,,
114,0.0347,0.0636,0.0392,0.0933,0.2507,0.2955,0.3308,0.2976,0.1417,0.0788,0,,,,,
115,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,0,,,,,
116,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,0,,,,,
117,0.0273,0.0507,0.0287,0.0803,0.2748,0.3417,0.3682,0.3487,0.1264,0.0634,0,,,,,
118,0.0316,0.0515,0.0262,0.0803,0.2748,0.3417,0.3706,0.3487,0.1264,0.0634,0,,,,,
119,0.0349,0.0589,0.037,0.0954,0.2526,0.3009,0.336,0.3063,0.1432,0.0805,0,,,,,
120,0.0307,0.0575,0.0357,0.0954,0.2526,0.3009,0.3362,0.3063,0.1432,0.0805,0,,,,,
121,0.0299,0.0499,0.0289,0.0803,0.2748,0.3417,0.365,0.3487,0.1264,0.0634,0,,,,,
122,0.0349,0.0579,0.0375,0.0825,0.2714,0.3253,0.3496,0.3273,0.1339,0.0643,0,,,,,
123,0.0299,0.0499,0.0289,0.0803,0.2748,0.3417,0.365,0.3487,0.1264,0.0634,0,,,,,
124,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,0,,,,,
125,0.0313,0.0519,0.0266,0.0847,0.2565,0.3295,0.3748,0.3271,0.1357,0.0647,0,,,,,
126,0.0393,0.067,0.0413,0.0933,0.2507,0.2955,0.309,0.2976,0.1417,0.0788,0,,,,,
127,0.0367,0.053,0.0396,0.0899,0.2635,0.3291,0.3378,0.3313,0.1448,0.0752,0,,,,,
128,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,0,,,,,
129,0.0389,0.0667,0.0424,0.0954,0.2526,0.3009,0.3172,0.3063,0.1432,0.0805,0,,,,,
130,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,0,,,,,
131,0.0367,0.053,0.0396,0.0899,0.2635,0.3291,0.3378,0.3313,0.1448,0.0752,0,,,,,
132,0.0361,0.0597,0.033,0.0825,0.2714,0.3253,0.3454,0.3273,0.1339,0.0643,0,,,,,
133,0.0347,0.0636,0.0392,0.0933,0.2507,0.2955,0.3308,0.2976,0.1417,0.0788,0,,,,,
134,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,0,,,,,
135,0.0349,0.0579,0.0375,0.0825,0.2714,0.3253,0.3496,0.3273,0.1339,0.0643,0,,,,,
136,0.0494,0.0786,0.0584,0.0954,0.2526,0.3009,0.3,0.3063,0.1432,0.0805,0,,,,,
137,0.0313,0.0519,0.0266,0.0847,0.2565,0.3295,0.3748,0.3271,0.1357,0.0647,0,,,,,
138,0.0423,0.0703,0.05,0.0933,0.2507,0.2955,0.2814,0.2976,0.1417,0.0788,0,,,,,
139,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,0,,,,,
140,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,0,,,,,
141,0.0393,0.067,0.0413,0.0933,0.2507,0.2955,0.309,0.2976,0.1417,0.0788,0,,,,,
142,0.0357,0.0586,0.0317,0.0899,0.2635,0.3291,0.3516,0.3313,0.1448,0.0752,0,,,,,
143,0.0393,0.067,0.0413,0.0933,0.2507,0.2955,0.309,0.2976,0.1417,0.0788,0,,,,,
144,0.0373,0.0564,0.0353,0.0899,0.2635,0.3291,0.3528,0.3313,0.1448,0.0752,0,,,,,
145,0.0273,0.0507,0.0287,0.0803,0.2748,0.3417,0.3682,0.3487,0.1264,0.0634,0,,,,,
146,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,0,,,,,
147,0.0349,0.0579,0.0375,0.0825,0.2714,0.3253,0.3496,0.3273,0.1339,0.0643,0,,,,,
148,0.0423,0.0703,0.05,0.0933,0.2507,0.2955,0.2814,0.2976,0.1417,0.0788,0,,,,,
149,0.0273,0.0507,0.0287,0.0803,0.2748,0.3417,0.3682,0.3487,0.1264,0.0634,0,,,,,
150,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,0,,,,,
151,0.0319,0.0549,0.0305,0.0847,0.2565,0.3295,0.331,0.3271,0.1357,0.0647,0,,,,,
152,0.0349,0.0579,0.0375,0.0825,0.2714,0.3253,0.3496,0.3273,0.1339,0.0643,0,,,,,
153,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,0,,,,,
154,0.0389,0.0667,0.0424,0.0954,0.2526,0.3009,0.3172,0.3063,0.1432,0.0805,0,,,,,
155,0.0307,0.0575,0.0357,0.0954,0.2526,0.3009,0.3362,0.3063,0.1432,0.0805,0,,,,,
156,0.0361,0.0597,0.033,0.0825,0.2714,0.3253,0.3454,0.3273,0.1339,0.0643,0,,,,,
157,0.0349,0.0579,0.0375,0.0825,0.2714,0.3253,0.3496,0.3273,0.1339,0.0643,0,,,,,
158,0.0299,0.0499,0.0289,0.0803,0.2748,0.3417,0.365,0.3487,0.1264,0.0634,0,,,,,
159,0.0361,0.0597,0.033,0.0825,0.2714,0.3253,0.3454,0.3273,0.1339,0.0643,0,,,,,
160,0.0389,0.0667,0.0424,0.0954,0.2526,0.3009,0.3172,0.3063,0.1432,0.0805,0,,,,,
161,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,0,,,,,
162,0.036,0.0528,0.0339,0.0847,0.2565,0.3295,0.3426,0.3271,0.1357,0.0647,0,,,,,
163,0.0307,0.0575,0.0357,0.0954,0.2526,0.3009,0.3362,0.3063,0.1432,0.0805,0,,,,,
164,0.0373,0.0564,0.0353,0.0899,0.2635,0.3291,0.3528,0.3313,0.1448,0.0752,0,,,,,
165,0.0307,0.0575,0.0357,0.0954,0.2526,0.3009,0.3362,0.3063,0.1432,0.0805,0,,,,,
166,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,0,,,,,
167,0.0299,0.0499,0.0289,0.0803,0.2748,0.3417,0.365,0.3487,0.1264,0.0634,0,,,,,
168,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,0,,,,,
169,0.0423,0.0703,0.05,0.0933,0.2507,0.2955,0.2814,0.2976,0.1417,0.0788,0,,,,,
170,0.0316,0.0545,0.0318,0.0825,0.2714,0.3253,0.3516,0.3273,0.1339,0.0643,0,,,,,
171,0.0313,0.0519,0.0266,0.0847,0.2565,0.3295,0.3748,0.3271,0.1357,0.0647,0,,,,,
172,0.0389,0.0667,0.0424,0.0954,0.2526,0.3009,0.3172,0.3063,0.1432,0.0805,0,,,,,
173,0.036,0.0528,0.0339,0.0847,0.2565,0.3295,0.3426,0.3271,0.1357,0.0647,0,,,,,
174,0.0347,0.0592,0.0309,0.0825,0.2714,0.3253,0.347,0.3273,0.1339,0.0643,0,,,,,
175,0.0313,0.0519,0.0266,0.0847,0.2565,0.3295,0.3748,0.3271,0.1357,0.0647,0,,,,,
176,0.0347,0.0592,0.0309,0.0825,0.2714,0.3253,0.347,0.3273,0.1339,0.0643,0,,,,,
177,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,0,,,,,
178,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,0,,,,,
179,0.0361,0.0597,0.033,0.0825,0.2714,0.3253,0.3454,0.3273,0.1339,0.0643,0,,,,,
180,0.0423,0.0703,0.05,0.0933,0.2507,0.2955,0.2814,0.2976,0.1417,0.0788,0,,,,,
181,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,0,,,,,
182,0.0349,0.0589,0.037,0.0954,0.2526,0.3009,0.336,0.3063,0.1432,0.0805,0,,,,,
183,0.0307,0.0575,0.0357,0.0954,0.2526,0.3009,0.3362,0.3063,0.1432,0.0805,0,,,,,
184,0.0349,0.0589,0.037,0.0954,0.2526,0.3009,0.336,0.3063,0.1432,0.0805,0,,,,,
185,0.0357,0.0556,0.0378,0.0899,0.2635,0.3291,0.3422,0.3313,0.1448,0.0752,0,,,,,
186,0.0389,0.0667,0.0424,0.0954,0.2526,0.3009,0.3172,0.3063,0.1432,0.0805,0,,,,,
187,0.0423,0.0703,0.05,0.0933,0.2507,0.2955,0.2814,0.2976,0.1417,0.0788,0,,,,,
188,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,0,,,,,
189,0.0316,0.0545,0.0318,0.0825,0.2714,0.3253,0.3516,0.3273,0.1339,0.0643,0,,,,,
190,0.0347,0.0636,0.0392,0.0933,0.2507,0.2955,0.3308,0.2976,0.1417,0.0788,0,,,,,
191,0.0494,0.0786,0.0584,0.0954,0.2526,0.3009,0.3,0.3063,0.1432,0.0805,0,,,,,
192,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,0,,,,,
193,0.0373,0.0564,0.0353,0.0899,0.2635,0.3291,0.3528,0.3313,0.1448,0.0752,0,,,,,
194,0.0316,0.0515,0.0262,0.0803,0.2748,0.3417,0.3706,0.3487,0.1264,0.0634,0,,,,,
195,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,0,,,,,
196,0.0299,0.0499,0.0289,0.0803,0.2748,0.3417,0.365,0.3487,0.1264,0.0634,0,,,,,
197,0.0347,0.0636,0.0392,0.0933,0.2507,0.2955,0.3308,0.2976,0.1417,0.0788,0,,,,,
198,0.0316,0.0545,0.0318,0.0825,0.2714,0.3253,0.3516,0.3273,0.1339,0.0643,0,,,,,
199,0.036,0.0528,0.0339,0.0847,0.2565,0.3295,0.3426,0.3271,0.1357,0.0647,0,,,,,
200,0.0423,0.0703,0.05,0.0933,0.2507,0.2955,0.2814,0.2976,0.1417,0.0788,0,,,,,
201,0.0373,0.0564,0.0353,0.0899,0.2635,0.3291,0.3528,0.3313,0.1448,0.0752,0,,,,,
202,0.0316,0.0545,0.0318,0.0825,0.2714,0.3253,0.3516,0.3273,0.1339,0.0643,0,,,,,
203,0.0347,0.0636,0.0392,0.0933,0.2507,0.2955,0.3308,0.2976,0.1417,0.0788,0,,,,,
204,0.0347,0.0636,0.0392,0.0933,0.2507,0.2955,0.3308,0.2976,0.1417,0.0788,0,,,,,
205,0.0373,0.0564,0.0353,0.0899,0.2635,0.3291,0.3528,0.3313,0.1448,0.0752,0,,,,,
206,0.0494,0.0786,0.0584,0.0954,0.2526,0.3009,0.3,0.3063,0.1432,0.0805,0,,,,,
207,0.0299,0.0499,0.0289,0.0803,0.2748,0.3417,0.365,0.3487,0.1264,0.0634,0,,,,,
208,0.0389,0.0667,0.0424,0.0954,0.2526,0.3009,0.3172,0.3063,0.1432,0.0805,0,,,,,
209,0.0309,0.054,0.0268,0.0847,0.2565,0.3295,0.3814,0.3271,0.1357,0.0647,0,,,,,
210,0.0361,0.0597,0.033,0.0825,0.2714,0.3253,0.3454,0.3273,0.1339,0.0643,0,,,,,
211,0.0357,0.0586,0.0317,0.0899,0.2635,0.3291,0.3516,0.3313,0.1448,0.0752,0,,,,,
212,0.0316,0.0545,0.0318,0.0825,0.2714,0.3253,0.3516,0.3273,0.1339,0.0643,0,,,,,
213,0.0316,0.0545,0.0318,0.0825,0.2714,0.3253,0.3516,0.3273,0.1339,0.0643,0,,,,,
214,0.036,0.0528,0.0339,0.0847,0.2565,0.3295,0.3426,0.3271,0.1357,0.0647,0,,,,,
215,0.0357,0.0586,0.0317,0.0899,0.2635,0.3291,0.3516,0.3313,0.1448,0.0752,0,,,,,
216,0.0373,0.0564,0.0353,0.0899,0.2635,0.3291,0.3528,0.3313,0.1448,0.0752,0,,,,,
217,0.0357,0.0586,0.0317,0.0899,0.2635,0.3291,0.3516,0.3313,0.1448,0.0752,0,,,,,
218,0.0373,0.0564,0.0353,0.0899,0.2635,0.3291,0.3528,0.3313,0.1448,0.0752,0,,,,,
219,0.0373,0.0564,0.0353,0.0899,0.2635,0.3291,0.3528,0.3313,0.1448,0.0752,0,,,,,
220,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,0,,,,,
221,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,0,,,,,
222,0.0307,0.0575,0.0357,0.0954,0.2526,0.3009,0.3362,0.3063,0.1432,0.0805,0,,,,,
223,0.0373,0.0564,0.0353,0.0899,0.2635,0.3291,0.3528,0.3313,0.1448,0.0752,0,,,,,
224,0.0307,0.0575,0.0357,0.0954,0.2526,0.3009,0.3362,0.3063,0.1432,0.0805,0,,,,,
225,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,0,,,,,
226,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,0,,,,,
227,0.0349,0.0589,0.037,0.0954,0.2526,0.3009,0.336,0.3063,0.1432,0.0805,0,,,,,
228,0.0423,0.0703,0.05,0.0933,0.2507,0.2955,0.2814,0.2976,0.1417,0.0788,0,,,,,
229,0.0307,0.0575,0.0357,0.0954,0.2526,0.3009,0.3362,0.3063,0.1432,0.0805,0,,,,,
230,0.0316,0.0545,0.0318,0.0825,0.2714,0.3253,0.3516,0.3273,0.1339,0.0643,0,,,,,
231,0.0347,0.0636,0.0392,0.0933,0.2507,0.2955,0.3308,0.2976,0.1417,0.0788,0,,,,,
232,0.0307,0.0575,0.0357,0.0954,0.2526,0.3009,0.3362,0.3063,0.1432,0.0805,0,,,,,
233,0.0349,0.0589,0.037,0.0954,0.2526,0.3009,0.336,0.3063,0.1432,0.0805,0,,,,,
234,0.0373,0.0564,0.0353,0.0899,0.2635,0.3291,0.3528,0.3313,0.1448,0.0752,0,,,,,
235,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,0,,,,,
236,0.0299,0.0499,0.0289,0.0803,0.2748,0.3417,0.365,0.3487,0.1264,0.0634,0,,,,,
237,0.0361,0.0597,0.033,0.0825,0.2714,0.3253,0.3454,0.3273,0.1339,0.0643,0,,,,,
