sn,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,class,,,,,
54,0.0349,0.0579,0.0375,0.0825,0.2714,0.3253,0.3496,0.3273,0.1339,0.0643,6422,,,,,
55,0.0347,0.0592,0.0309,0.0825,0.2714,0.3253,0.347,0.3273,0.1339,0.0643,6422,,,,,
56,0.0313,0.0519,0.0266,0.0847,0.2565,0.3295,0.3748,0.3271,0.1357,0.0647,6422,,,,,
57,0.0299,0.0499,0.0289,0.0803,0.2748,0.3417,0.365,0.3487,0.1264,0.0634,6422,,,,,
58,0.0299,0.0499,0.0289,0.0803,0.2748,0.3417,0.365,0.3487,0.1264,0.0634,6422,,,,,
59,0.0349,0.0579,0.0375,0.0825,0.2714,0.3253,0.3496,0.3273,0.1339,0.0643,6422,,,,,
60,0.0357,0.0586,0.0317,0.0899,0.2635,0.3291,0.3516,0.3313,0.1448,0.0752,6422,,,,,
61,0.0313,0.0519,0.0266,0.0847,0.2565,0.3295,0.3748,0.3271,0.1357,0.0647,6422,,,,,
62,0.0361,0.0597,0.033,0.0825,0.2714,0.3253,0.3454,0.3273,0.1339,0.0643,6422,,,,,
63,0.0316,0.0545,0.0318,0.0825,0.2714,0.3253,0.3516,0.3273,0.1339,0.0643,6422,,,,,
64,0.0367,0.053,0.0396,0.0899,0.2635,0.3291,0.3378,0.3313,0.1448,0.0752,6422,,,,,
65,0.0389,0.0667,0.0424,0.0954,0.2526,0.3009,0.3172,0.3063,0.1432,0.0805,6422,,,,,
66,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,6422,,,,,
67,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,6422,,,,,
68,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,6422,,,,,
69,0.0299,0.0499,0.0289,0.0803,0.2748,0.3417,0.365,0.3487,0.1264,0.0634,6422,,,,,
70,0.0347,0.0592,0.0309,0.0825,0.2714,0.3253,0.347,0.3273,0.1339,0.0643,6422,,,,,
71,0.0357,0.0586,0.0317,0.0899,0.2635,0.3291,0.3516,0.3313,0.1448,0.0752,6422,,,,,
72,0.0423,0.0703,0.05,0.0933,0.2507,0.2955,0.2814,0.2976,0.1417,0.0788,6422,,,,,
73,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,6422,,,,,
74,0.0357,0.0586,0.0317,0.0899,0.2635,0.3291,0.3516,0.3313,0.1448,0.0752,6422,,,,,
75,0.0299,0.0499,0.0289,0.0803,0.2748,0.3417,0.365,0.3487,0.1264,0.0634,6422,,,,,
76,0.0373,0.0564,0.0353,0.0899,0.2635,0.3291,0.3528,0.3313,0.1448,0.0752,6422,,,,,
77,0.0357,0.0556,0.0378,0.0899,0.2635,0.3291,0.3422,0.3313,0.1448,0.0752,6422,,,,,
78,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,6422,,,,,
79,0.0349,0.0579,0.0375,0.0825,0.2714,0.3253,0.3496,0.3273,0.1339,0.0643,6422,,,,,
80,0.0423,0.0703,0.05,0.0933,0.2507,0.2955,0.2814,0.2976,0.1417,0.0788,6422,,,,,
81,0.0361,0.0597,0.033,0.0825,0.2714,0.3253,0.3454,0.3273,0.1339,0.0643,6422,,,,,
82,0.0316,0.0515,0.0262,0.0803,0.2748,0.3417,0.3706,0.3487,0.1264,0.0634,6422,,,,,
83,0.0361,0.0597,0.033,0.0825,0.2714,0.3253,0.3454,0.3273,0.1339,0.0643,6422,,,,,
84,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,6422,,,,,
85,0.0307,0.0575,0.0357,0.0954,0.2526,0.3009,0.3362,0.3063,0.1432,0.0805,6422,,,,,
86,0.0349,0.0579,0.0375,0.0825,0.2714,0.3253,0.3496,0.3273,0.1339,0.0643,6422,,,,,
87,0.0299,0.0499,0.0289,0.0803,0.2748,0.3417,0.365,0.3487,0.1264,0.0634,6422,,,,,
88,0.0313,0.0519,0.0266,0.0847,0.2565,0.3295,0.3748,0.3271,0.1357,0.0647,6422,,,,,
89,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,6422,,,,,
90,0.0393,0.067,0.0413,0.0933,0.2507,0.2955,0.309,0.2976,0.1417,0.0788,6422,,,,,
91,0.0316,0.0545,0.0318,0.0825,0.2714,0.3253,0.3516,0.3273,0.1339,0.0643,6422,,,,,
92,0.0313,0.0519,0.0266,0.0847,0.2565,0.3295,0.3748,0.3271,0.1357,0.0647,6422,,,,,
93,0.0347,0.0592,0.0309,0.0825,0.2714,0.3253,0.347,0.3273,0.1339,0.0643,6422,,,,,
94,0.036,0.0528,0.0339,0.0847,0.2565,0.3295,0.3426,0.3271,0.1357,0.0647,6422,,,,,
95,0.036,0.0528,0.0339,0.0847,0.2565,0.3295,0.3426,0.3271,0.1357,0.0647,6422,,,,,
96,0.0299,0.0499,0.0289,0.0803,0.2748,0.3417,0.365,0.3487,0.1264,0.0634,6422,,,,,
97,0.0361,0.0597,0.033,0.0825,0.2714,0.3253,0.3454,0.3273,0.1339,0.0643,6422,,,,,
98,0.0307,0.0575,0.0357,0.0954,0.2526,0.3009,0.3362,0.3063,0.1432,0.0805,6422,,,,,
99,0.0309,0.054,0.0268,0.0847,0.2565,0.3295,0.3814,0.3271,0.1357,0.0647,6422,,,,,
100,0.0349,0.0579,0.0375,0.0825,0.2714,0.3253,0.3496,0.3273,0.1339,0.0643,6422,,,,,
101,0.036,0.0528,0.0339,0.0847,0.2565,0.3295,0.3426,0.3271,0.1357,0.0647,6422,,,,,
102,0.0373,0.0564,0.0353,0.0899,0.2635,0.3291,0.3528,0.3313,0.1448,0.0752,6422,,,,,
103,0.0347,0.0636,0.0392,0.0933,0.2507,0.2955,0.3308,0.2976,0.1417,0.0788,6422,,,,,
104,0.0357,0.0586,0.0317,0.0899,0.2635,0.3291,0.3516,0.3313,0.1448,0.0752,6422,,,,,
105,0.0357,0.0586,0.0317,0.0899,0.2635,0.3291,0.3516,0.3313,0.1448,0.0752,6422,,,,,
106,0.0423,0.0703,0.05,0.0933,0.2507,0.2955,0.2814,0.2976,0.1417,0.0788,6422,,,,,
107,0.0393,0.067,0.0413,0.0933,0.2507,0.2955,0.309,0.2976,0.1417,0.0788,6422,,,,,
108,0.0349,0.0579,0.0375,0.0825,0.2714,0.3253,0.3496,0.3273,0.1339,0.0643,6422,,,,,
109,0.0373,0.0564,0.0353,0.0899,0.2635,0.3291,0.3528,0.3313,0.1448,0.0752,6422,,,,,
110,0.0361,0.0597,0.033,0.0825,0.2714,0.3253,0.3454,0.3273,0.1339,0.0643,6422,,,,,
111,0.0357,0.0556,0.0378,0.0899,0.2635,0.3291,0.3422,0.3313,0.1448,0.0752,6422,,,,,
112,0.0494,0.0786,0.0584,0.0954,0.2526,0.3009,0.3,0.3063,0.1432,0.0805,6422,,,,,
113,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,6422,,,,,
114,0.0347,0.0636,0.0392,0.0933,0.2507,0.2955,0.3308,0.2976,0.1417,0.0788,6422,,,,,
115,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,6422,,,,,
116,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,6422,,,,,
117,0.0273,0.0507,0.0287,0.0803,0.2748,0.3417,0.3682,0.3487,0.1264,0.0634,6422,,,,,
118,0.0316,0.0515,0.0262,0.0803,0.2748,0.3417,0.3706,0.3487,0.1264,0.0634,6422,,,,,
119,0.0349,0.0589,0.037,0.0954,0.2526,0.3009,0.336,0.3063,0.1432,0.0805,6422,,,,,
120,0.0307,0.0575,0.0357,0.0954,0.2526,0.3009,0.3362,0.3063,0.1432,0.0805,6422,,,,,
121,0.0299,0.0499,0.0289,0.0803,0.2748,0.3417,0.365,0.3487,0.1264,0.0634,6422,,,,,
122,0.0349,0.0579,0.0375,0.0825,0.2714,0.3253,0.3496,0.3273,0.1339,0.0643,6422,,,,,
123,0.0299,0.0499,0.0289,0.0803,0.2748,0.3417,0.365,0.3487,0.1264,0.0634,6422,,,,,
124,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,6422,,,,,
125,0.0313,0.0519,0.0266,0.0847,0.2565,0.3295,0.3748,0.3271,0.1357,0.0647,6422,,,,,
126,0.0393,0.067,0.0413,0.0933,0.2507,0.2955,0.309,0.2976,0.1417,0.0788,6422,,,,,
127,0.0367,0.053,0.0396,0.0899,0.2635,0.3291,0.3378,0.3313,0.1448,0.0752,6422,,,,,
128,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,6422,,,,,
129,0.0389,0.0667,0.0424,0.0954,0.2526,0.3009,0.3172,0.3063,0.1432,0.0805,6422,,,,,
130,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,6422,,,,,
131,0.0367,0.053,0.0396,0.0899,0.2635,0.3291,0.3378,0.3313,0.1448,0.0752,6422,,,,,
132,0.0361,0.0597,0.033,0.0825,0.2714,0.3253,0.3454,0.3273,0.1339,0.0643,6422,,,,,
133,0.0347,0.0636,0.0392,0.0933,0.2507,0.2955,0.3308,0.2976,0.1417,0.0788,6422,,,,,
134,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,6422,,,,,
135,0.0349,0.0579,0.0375,0.0825,0.2714,0.3253,0.3496,0.3273,0.1339,0.0643,6422,,,,,
136,0.0494,0.0786,0.0584,0.0954,0.2526,0.3009,0.3,0.3063,0.1432,0.0805,6422,,,,,
137,0.0313,0.0519,0.0266,0.0847,0.2565,0.3295,0.3748,0.3271,0.1357,0.0647,6422,,,,,
138,0.0423,0.0703,0.05,0.0933,0.2507,0.2955,0.2814,0.2976,0.1417,0.0788,6422,,,,,
139,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,6422,,,,,
140,0.0355,0.0589,0.037,0.0933,0.2507,0.2955,0.3326,0.2976,0.1417,0.0788,6422,,,,,
141,0.0393,0.067,0.0413,0.0933,0.2507,0.2955,0.309,0.2976,0.1417,0.0788,6422,,,,,
142,0.0357,0.0586,0.0317,0.0899,0.2635,0.3291,0.3516,0.3313,0.1448,0.0752,6422,,,,,
143,0.0393,0.067,0.0413,0.0933,0.2507,0.2955,0.309,0.2976,0.1417,0.0788,6422,,,,,
144,0.0373,0.0564,0.0353,0.0899,0.2635,0.3291,0.3528,0.3313,0.1448,0.0752,6422,,,,,
145,0.0273,0.0507,0.0287,0.0803,0.2748,0.3417,0.3682,0.3487,0.1264,0.0634,6422,,,,,
146,0.0296,0.0523,0.0261,0.0803,0.2748,0.3417,0.3592,0.3487,0.1264,0.0634,6422,,,,,
147,0.0349,0.0579,0.0375,0.0825,0.2714,0.3253,0.3496,0.3273,0.1339,0.0643,6422,,,,,
